Circuit: * C:\Users\maksym\source\repos\Dohle\String Maschine\simulations\Draft2.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 4.39984e-007 to 4.40984e-007
Heightened Def Con from 4.40985e-007 to 4.4211e-007
Heightened Def Con from 4.43034e-007 to 4.44034e-007
Heightened Def Con from 4.44035e-007 to 4.4516e-007
Heightened Def Con from 4.46084e-007 to 4.47085e-007
Heightened Def Con from 4.47085e-007 to 4.4821e-007
Heightened Def Con from 4.49136e-007 to 4.50136e-007
Heightened Def Con from 4.50137e-007 to 4.51262e-007
Heightened Def Con from 4.52188e-007 to 4.53188e-007
Heightened Def Con from 4.53189e-007 to 4.54314e-007
Heightened Def Con from 4.5524e-007 to 4.56241e-007
Heightened Def Con from 4.56241e-007 to 4.57366e-007
Heightened Def Con from 4.58294e-007 to 4.59294e-007
Heightened Def Con from 4.59295e-007 to 4.6042e-007
Heightened Def Con from 4.61348e-007 to 4.62348e-007
Heightened Def Con from 4.62349e-007 to 4.63474e-007
Heightened Def Con from 4.64402e-007 to 4.65402e-007
Heightened Def Con from 4.65403e-007 to 4.66528e-007
Heightened Def Con from 4.67457e-007 to 4.68458e-007
Heightened Def Con from 4.68458e-007 to 4.69583e-007
Heightened Def Con from 4.70513e-007 to 4.71513e-007
Heightened Def Con from 4.71514e-007 to 4.72639e-007
Heightened Def Con from 4.73569e-007 to 4.74569e-007
Heightened Def Con from 4.7457e-007 to 4.75695e-007
Heightened Def Con from 4.76626e-007 to 4.77626e-007
Heightened Def Con from 4.77626e-007 to 4.78751e-007
Heightened Def Con from 4.79683e-007 to 4.80683e-007
Heightened Def Con from 4.80683e-007 to 4.81808e-007
Heightened Def Con from 4.8274e-007 to 4.8374e-007
Heightened Def Con from 4.83741e-007 to 4.84866e-007
Heightened Def Con from 4.85798e-007 to 4.86798e-007
Heightened Def Con from 4.86799e-007 to 4.87924e-007
Heightened Def Con from 4.88856e-007 to 4.89856e-007
Heightened Def Con from 4.89857e-007 to 4.90982e-007
Heightened Def Con from 4.91915e-007 to 4.92915e-007
Heightened Def Con from 4.92915e-007 to 4.9404e-007
Heightened Def Con from 4.94973e-007 to 4.95974e-007
Heightened Def Con from 4.95974e-007 to 4.97099e-007
Heightened Def Con from 4.98033e-007 to 4.99033e-007
Heightened Def Con from 4.99034e-007 to 5.00159e-007
Heightened Def Con from 5.01092e-007 to 5.02092e-007
Heightened Def Con from 5.02093e-007 to 5.03218e-007
Heightened Def Con from 5.04152e-007 to 5.05152e-007
Heightened Def Con from 5.05153e-007 to 5.06278e-007
Heightened Def Con from 5.07212e-007 to 5.08212e-007
Heightened Def Con from 5.08213e-007 to 5.09338e-007
Heightened Def Con from 5.10273e-007 to 5.11273e-007
Heightened Def Con from 5.11273e-007 to 5.12398e-007
Heightened Def Con from 5.13333e-007 to 5.14333e-007
Heightened Def Con from 5.14334e-007 to 5.15459e-007
Heightened Def Con from 5.16394e-007 to 5.17394e-007
Heightened Def Con from 5.17395e-007 to 5.1852e-007
Heightened Def Con from 5.19455e-007 to 5.20455e-007
Heightened Def Con from 5.20456e-007 to 5.21581e-007
Heightened Def Con from 5.22516e-007 to 5.23517e-007
Heightened Def Con from 5.23517e-007 to 5.24642e-007
Heightened Def Con from 5.25578e-007 to 5.26578e-007
Heightened Def Con from 5.26579e-007 to 5.27704e-007
Heightened Def Con from 5.28639e-007 to 5.2964e-007
Heightened Def Con from 5.2964e-007 to 5.30765e-007
Heightened Def Con from 5.31701e-007 to 5.32701e-007
Heightened Def Con from 5.32702e-007 to 5.33827e-007
Heightened Def Con from 5.34763e-007 to 5.35763e-007
Heightened Def Con from 5.35764e-007 to 5.36889e-007
Heightened Def Con from 5.37825e-007 to 5.38826e-007
Heightened Def Con from 5.38826e-007 to 5.39951e-007
Heightened Def Con from 5.40888e-007 to 5.41888e-007
Heightened Def Con from 5.41889e-007 to 5.43014e-007
Heightened Def Con from 5.4395e-007 to 5.4495e-007
Heightened Def Con from 5.44951e-007 to 5.46076e-007
Heightened Def Con from 5.47013e-007 to 5.48013e-007
Heightened Def Con from 5.48014e-007 to 5.49139e-007
Heightened Def Con from 5.50075e-007 to 5.51076e-007
Heightened Def Con from 5.51076e-007 to 5.52201e-007
Heightened Def Con from 5.53138e-007 to 5.54138e-007
Heightened Def Con from 5.54139e-007 to 5.55264e-007
Heightened Def Con from 5.56201e-007 to 5.57201e-007
Heightened Def Con from 5.57202e-007 to 5.58327e-007
Heightened Def Con from 5.59264e-007 to 5.60264e-007
Heightened Def Con from 5.60265e-007 to 5.6139e-007
Heightened Def Con from 5.62327e-007 to 5.63328e-007
Heightened Def Con from 5.63328e-007 to 5.64453e-007
Heightened Def Con from 5.65391e-007 to 5.66391e-007
Heightened Def Con from 5.66391e-007 to 5.67516e-007
Heightened Def Con from 5.68454e-007 to 5.69454e-007
Heightened Def Con from 5.69455e-007 to 5.7058e-007
Heightened Def Con from 5.71517e-007 to 5.72518e-007
Heightened Def Con from 5.72518e-007 to 5.73643e-007
Heightened Def Con from 5.74581e-007 to 5.75581e-007
Heightened Def Con from 5.75582e-007 to 5.76707e-007
Heightened Def Con from 5.77644e-007 to 5.78645e-007
Heightened Def Con from 5.78645e-007 to 5.7977e-007
Heightened Def Con from 5.80708e-007 to 5.81708e-007
Heightened Def Con from 5.81709e-007 to 5.82834e-007
Heightened Def Con from 5.83772e-007 to 5.84772e-007
Heightened Def Con from 5.84773e-007 to 5.85898e-007
